id,articles,highlights
78,"L'ex-producteur hollywoodien Harvey Weinstein a été hospitalisé samedi à son retour à New York après que la cour d'appel de la ville a annulé jeudi dernier sa condamnation en 2020 pour viol et agression sexuelle. Cette décision de justice a suscité l'indignation au sein du mouvement #MeToo même si Harvey Weinstein reste incarcéré pour une peine de viol distincte de 16 ans prononcée en Californie. «Le département correctionnel de New York a estimé que M. Weinstein avait besoin d'une attention médicale immédiate» , a déclaré son avocat Arthur L Aidala dans un communiqué. «Une myriade de tests sont effectués sur Harvey et il est gardé en observation» , a-t-il précisé. La police a déclaré aux médias américains que M. Weinstein avait été transporté à l'hôpital Bellevue de New York. Jeudi, la cour d'appel de la ville avait estimé que le juge de première instance avait commis une erreur en admettant des témoignages portant sur d'autres faits que ceux commis contre les plaignantes, et ordonné la tenue d'un nouveau procès. Harvey Weinstein, 72 ans, a été reconnu coupable par un tribunal de New York en 2020 du viol et de l'agression sexuelle de l'ex-actrice Jessica Mann en 2013, et d'agression sexuelle sur l'ancienne assistante de production Mimi Haleyi en 2006. Il a été condamné à 23 ans de prison. Le mouvement #MeToo avait été déclenché en 2017 par les révélations sur le comportement du producteur déchu, dont l'influence sur Hollywood avait été immense par le passé. Depuis, des dizaines de femmes, dont Angelina Jolie et Gwyneth Paltrow ont accusé Harvey Weinstein de harcèlement, d'agressions sexuelles ou de viols. Mais le délai de prescription a été dépassé dans nombre de ces affaires.","Harvey Weinstein, l’ancien producteur américain hospitalisé à New York"
79,"«Il n'y a pas de polémiques qui viennent du festival» de Cannes, a estimé lundi son délégué général, Thierry Frémaux, devant la presse, alors que des rumeurs en lien avec #MeToo planent sur le rendez-vous du 7e art, qui démarre mardi. «L'année dernière fut une belle année de cinéma (...) et en même temps, je ne délivre pas un secret en disant que l'an dernier il y avait eu quelques polémiques» , a rappelé Thierry Frémaux. «Donc on s'est rendu compte de ça et on a décidé de faire un festival sans polémique et il n'y en a pas» . Le Festival de Cannes avait présenté l'an dernier le film Jeanne du Barry de Maïwenn en ouverture. Le film signait le come-back de Johnny Depp, après ses procès pour diffamation autour d'accusations de violences conjugales. Cette année, «il n'y a pas de polémiques qui viennent du festival. On a précisément pris soin de faire en sorte que l'intérêt majeur de ce pour quoi nous sommes tous ici reste le cinéma» , a encore souligné le délégué général. Au cas par cas Des rumeurs d'accusations en lien avec #MeToo circulent depuis des semaines sur les réseaux sociaux. Elles pourraient perturber la 77e édition du Festival (14-25 mai), sept ans après l'affaire Harvey Weinstein qui a lancé le mouvement de libération de la parole des victimes d'agression sexuelle. Une liste de personnalités du cinéma potentiellement mises en cause circule, mais aucune enquête journalistique n'a été publiée confirmant ou infirmant ces rumeurs. «Si le cas d'une personne mise en cause se présentait, nous veillerions à prendre la bonne décision au cas par cas» , a assuré récemment Iris Knobloch, présidente du Festival . S'il «y a d'autres polémiques, ça ne nous concerne pas» , a encore insisté Thierry Frémaux. «Je veux bien les commenter, mais ça n'a pas plus d'intérêt que qui que ce soit les commente. Parce que comme il n'y a pas de polémiques, on les invente ou on les amplifie» , a encore insisté lundi Thierry Frémaux. Le Festival de Cannes démarre mardi lors d'une cérémonie où Meryl Streep se verra remettre une Palme d'or d'honneur, avec comme film d'ouverture Le Deuxième Acte de Quentin Dupieux.","«On a décidé de faire un Festival de Cannes sans polémique», promet Thierry Frémaux"
80,"Cet article est issu du «Figaro Magazine». « Ce n’était pas un concours de talent musical, mais un concours de laideur, de vulgarité, de grossièreté, d’exhibitionnisme (sanctionné par la loi mais diffusé à des millions d’enfants et d’ados!!). (…) Une enquête sérieuse sur les méthodes ainsi qu’un bilan financier détaillé de cette exhibition minable, mais manifestement coûteuse s’imposent.» Ségolène Royal est en colère . Normal, elle a vu la dernière édition de l’Eurovision . On avait eu une femme à barbe il y a quelques années, cette fois-ci, c’est le Suisse «non binaire» Nemo qui a atteint la première place du podium. Ça piquait les yeux Libération nous informe que quelques mois auparavant, sur son compte Instagram, «i.el» avait transmis un message puissant: «Je suis juste Nemo. J’aime penser au genre comme à une galaxie, m’imaginant comme une petite étoile, flottant quelque part à l’intérieur. C’est là que je me sens le plus moi-même.» La petite étoile flottant à l’intérieur d’une galaxie est apparue dans une tenue étonnante pour le fameux show . Un mélange de vêtements originaux, probablement non binaires. Comme disent les jeunes, ça piquait les yeux. Ségolène Royal, encore elle, n’en est pas revenue: «Les chanteurs et chanteuses eux-mêmes ont-ils eu la liberté de refuser les pitoyables vêtements maltraitants que les organisateurs leur ont fait porter?» Mais qui regarde encore ce parangon de ringardise, et pourquoi? Qui écoute encore Conchita Wurst, Salvador Sobral, Duncan Laurence, Maneskin? Que sont devenues ces stars d’un soir? Une idée pour l’an prochain: un homme-tronc sur un skateboard.",Eurovision: Ségolène Royal est en colère et elle a raison
81,"Nikus Pokus, membre fondateur du groupe de rap Svinkels, qui a marqué le début des années 2000, est mort vendredi d'une crise cardiaque à l'âge de 51 ans, a appris l'AFP dimanche auprès de l'entourage de cette formation. Nikus Pokus (de son vrai nom Nicolas Tissier) est mort «en rentrant d'une randonnée» , à son domicile de Lézardrieux, dans les Côtes d'Armor, où il avait emménagé récemment, selon l'entourage du groupe. Il était père d'une petite fille de 4 ans et projetait de sortir son premier album solo. «Le coeur lourd mais plein d'amour pour toi, notre légendaire compagnon de route, tout le groupe et les équipes te souhaitent de rejoindre les étoiles que tu as tutoyées toute ton incroyable vie» , a annoncé le groupe dès samedi sur Instagram et Facebook. À lire aussi Disparition de Tai-Luc, bouquiniste et meneur du groupe punk La Souris déglinguée Svinkels, qui tire son nom d'une marque de bière bon marché, a été fondé au milieu des années 90 par Nikus Pokus et Gérard Baste, alors lycéens. Ils ont été rejoints par la suite par Mr. Xavier et DJ Pone. Fréquemment comparé aux Américains Beastie Boys , le groupe a marqué le début des années 2000 grâce à ses textes mordants, décalés et trash, et son attitude rock voire punk. À cette époque, Svinkels était classé parmi les groupes de rap dits «alternatifs» , aux côtés de TTC, Klub des Loosers ou La Caution, par opposition au hip-hop commercial promu par les radios et les majors du disque. Svinkels a sorti les albums studio Tapis rouge en 1999, Bons pour l'asile en 2003, Dirty Centre en 2008 puis Rechute en 2021, après plusieurs années de pause. Le groupe préparait son retour pour 2025, selon son entourage. Gérard Baste, pour sa part, était en tournée ces derniers mois avec son groupe le Slip Squad, aux côtés de Mr. Xavier. Il avait prévu plusieurs concerts avec Nikus Pokus en juin et en juillet.","Disparition de Nikus Pokus, membre du groupe de rap Svinkels"
82,"La télévision américaine CNN a diffusé vendredi un montage d'images de vidéosurveillance d'un hôtel de Los Angeles daté de mars 2016 qui montre un déchaînement de violence du rappeur Sean «Diddy» Combs contre sa compagne de l'époque, la chanteuse de R&B Cassie, de son vrai nom Casandra Ventura. La star mondiale et milliardaire new-yorkaise du hip-hop, 54 ans, qui se fait aussi appeler Puff Daddy et P. Diddy, a été rattrapée depuis 2023 par nombre d'accusations de viols, d'exploitations sexuelles et de violences physiques et psychologiques. À lire aussi Diddy accusé de harcèlement et d’agression sexuels par son producteur Notamment dans une plainte au civil déposée à New York en novembre par Cassie qui accusait son ex-compagnon d'un viol en 2018 et de «comportement violent» et «déviant» durant une décennie, comme des relations sexuelles forcées avec des hommes prostitués. L'affaire a été réglée «à l'amiable» selon un accord confidentiel. L'action en justice de Casandra Ventura, désormais éteinte, se référait à une agression physique particulièrement violente, dont les images de vidéosurveillance datées du 5 mars 2016 et dévoilées et authentifiées par CNN, donnent toute la mesure. Selon un montage de vidéos prises de plusieurs angles filmant un couloir et des portes d'ascenseur de l'hôtel InterContinental (aujourd'hui disparu) à Los Angeles, on peut voir une femme , Cassie selon CNN, marchant dans le couloir, vêtue d'un manteau à capuche, d'un jean et portant un sac à main et un sac de voyage. Projetée violemment au sol Quelques secondes après, on voit un homme surgir dans le couloir, le Diddy d’après la chaîne, et lui courir après. Il porte simplement une serviette autour de la taille et des chaussettes. Arrivé devant l'ascenseur, le rappeur retrouve la chanteuse qui lui tourne le dos, l'attrape brutalement par la nuque, la projette très violemment au sol et lui assène un lourd coup de pied alors qu'elle est à terre. Diddy, tenant d'une main sa serviette autour de sa taille, ramasse de l'autre les sacs de Cassie et lui redonne un coup de pied, selon les images. On le voit ensuite attraper sa compagne de l'époque violemment par la capuche ou le haut de son manteau, la traîner dans le couloir sur quelques mètres avant de l'abandonner. On l’aperçoit alors se relever lentement, rassembler ses affaires et décrocher un téléphone de service près de l'ascenseur. Sur un autre extrait d'une caméra qui filme un miroir du couloir de l'hôtel, le rappeur assis sur une chaise, dans la même tenue, jette violemment des vases en verre vers Cassie, qu'on ne voit pas. Cette «vidéo, à se retourner l'estomac, ne fait que confirmer le comportement de prédateur de M. Combs», a dénoncé dans un communiqué l'avocat de la chanteuse, Douglas Wigdor, qui salue le «courage» de sa cliente. Le rappeur nie tous les faits depuis la plainte au civil de novembre et n'a pas été inculpé au pénal.",CNN diffuse des images du rappeur Diddy frappant violemment son ex-compagne Cassie
83,"«Je suis toujours là pour la soutenir» mais «c'est son combat» . Tess Barthélémy, la fille de Judith Godrèche accompagne sa mère pour porter jusqu'au 77 e Festival de Cannes sa lutte contre les violences sexuelles. Après une formation en danse, la Franco-Américaine de 19 ans a pris goût au métier d'actrice et passe des castings, en anglais comme en français. En début d'année, le public la découvrait dans Icon of French Cinema , la série semi-autobiographique de Judith Godrèche, devenue le porte-étendard du mouvement #MeToo en France, après avoir accusé de viols les réalisateurs Benoît Jacquot et Jacques Doillon . La revoici dans Moi aussi , ce court-métrage présenté mercredi à Cannes et tourné avec un millier de femmes et quelques hommes, victimes de violences sexuelles, qui défilent devant la caméra. À lire aussi «Moi aussi»: Judith Godrèche fait entendre sa voix en dix-sept minutes Plein cadre, parmi eux, tel un fantôme, Tess Barthélémy danse en silence. «C'est un projet assez incroyable, parce que je suis la seule actrice, entourée de 1.000 participants et participantes qui ont envoyé des e-mails à ma mère à propos des agressions qu'elles avaient vécues» , témoigne Tess Barthélémy, 19 ans, auprès de l'AFP. Pour Judith Godrèche , qui a pris du champ pendant des années à Los Angeles où sa fille a grandi, loin du milieu du cinéma français, voir Tess devenir adolescente fut l'un des déclencheurs de sa prise de parole. Avec un prix à payer, celui d'étaler au grand jour les blessures du passé. «Comment est-ce que j'ai vécu ça ? C'est sûr que moi j'étais assise très loin de tout ça, j'étais à Los Angeles et je suis arrivée [en France] , ça a fait un peu un big boom , témoigne Tess Barthélémy. Je le vis comme toute fille qui vit des choses difficiles avec sa maman parfois, avec sa famille [...] C'est juste comme tout problème familial» , mais avec le regard et l'avis du public. «Son propre combat» Un «problème familial» vécu sous l'œil des réseaux sociaux. «Les gens derrière un écran se laissent dire beaucoup de choses. Je suis très bien entourée et j'ai une maman très forte qui me protège beaucoup de tout ça aussi [...] C'est juste des gens qui n'ont pas trop d'autres choses à faire dans leur vie que d'aller mettre de la haine dans le monde comme ça, et donc je ne regarde pas trop.» Sur la Croisette, Judith Godrèche et Tess Barthélémy donnent chacune leurs interviews, partageant un salon du Palais des Festivals . Tess fait quasiment ses premiers pas devant les journalistes, Judith Godrèche a enchaîné des dizaines d'interviews ces derniers mois et glisse une tête avant le rendez-vous : «Soyez gentils avec elle, c'est les débuts !» . À lire aussi Sous la plage de Cannes, les pavés #MeToo «C'est son propre combat, sa propre cause qu'elle [défend] très bien toute seule , reprend Tess, à propos de sa mère. Moi, je suis là pour accompagner parfois, pour jouer dans des choses qu'elle fait, pour dire ce message plus fort, mais ce n'est pas le mien. Je trouve ça incroyable ce qu'elle fait, je vais toujours être là, très proche d'elle, pour la soutenir.» Dans le cinéma, les choses ont «commencé à changer», se félicite-t-elle. «Moi, je suis toute nouvelle dans tout ça, donc j'espère que ça change pour le mieux. Je pense qu'il y a beaucoup de choses à faire pour être sûre que ce soit un endroit “safe”, que les femmes soient respectées, que les hommes soient respectés, que juste il y ait une égalité.»","«Je trouve ça incroyable ce qu'elle fait»: Tess Barthélémy, fille de Judith Godrèche et sœur de combat"
84,"Deux cent quatre vingt kilomètres de fils rouges, formant une trame du souvenir dans une galerie de 120 mètres de longueur creusée dans les profondeurs du Salzkammergut, en Autriche, pendant la Seconde Guerre mondiale. Cette impressionnant dispositif fait pénétrer l'art dans le camp de concentration d’Ebensee, annexe de celui de Mauthausen . L’objectif est de «rapprocher le public de l'inexprimable» et entretenir le souvenir, une «démarche d'équilibriste» qui doit se faire selon le mémorial dans le respect des victimes du nazisme. Quand on entre dans le tunnel creusé sous la roche par les prisonniers principalement polonais, soviétiques et hongrois, on est saisi par la multitude de cordes rouges qui relient des immenses robes. Cette installation de la Japonaise Chiharu Shiota, 51 ans, est à découvrir jusqu'au 30 septembre dans le Salzkammergut, région centrale des lacs élue Capitale européenne de la culture en 2024. À lire aussi Alsace: le camp de concentration du Struthof jusqu’au bout de son histoire Où sommes-nous maintenant? Les vêtements qui flottent dans l'air comme des fantômes sont utilisés «tels des corps vides» , symbolisant «l'absence» des déportés, une «existence visible, mais sans personne» . L'oeuvre s'appelle Où sommes-nous maintenant? On retrouve les fils rouges chers à l'artiste, une couleur associée au sang ou au destin, dit-elle à l'AFP dans l'atmosphère humide et froide du souterrain. Elle ne connaissait pas ce lieu avant d'avoir été invitée à y exposer mais vit depuis 26 ans en Allemagne et s'est intéressée aux camps de concentration. Chiharu Shiota (ici en 2015 à la Biennale de Venise) vit depuis 26 ans en Allemagne où elle s’est fait connaître avec ses installations de fils entrelacés. GABRIEL BOUYS / AFP Originaire d'une puissance alliée d'Hitler, Chiharu Shiota regrette que le Japon n'ait pas fait le même travail de mémoire, selon des propos rapportés par le quotidien Die Presse. A Ebensee, dans le pays natal d'Adolf Hitler annexé par le IIIe Reich en 1938, les nazis devaient mener des recherches sur les missiles à partir de 1943. Le projet n'aboutira jamais au coeur de cette galerie aux dimensions impressionnantes, l'une des rares transformées en mémorial et en musée, en 1988. «C'est la preuve du travail forcé» de 27.000 prisonniers, dont plus de 8.000 mourront dans des conditions inhumaines, rappelle Wolfgang Quatember, le directeur des lieux, selon qui l'art peut «rendre l'indicible tangible pour les gens» . Un opéra a déjà été joué entre ces parois sombres. Il avait été composé dans le ghetto de Theresienstadt, au nord de Prague, où ont été détenus des juifs durant la seconde guerre mondiale. Des démarches respectueuses donc dans un lieu chargé d'histoire, note le responsable, devant le travail de Chiharu Shiota. «Je n'avais jamais osé entrer auparavant parce que cela me paraissait oppressant, dit à l'AFP Monika Fritsch, une créatrice de contenu de 60 ans venue à l'inauguration. Mais cette installation m'a permis de faire le pas.»","Dans un camp de concentration autrichien, les fantômes des déportés convoqués par Chiharu Shiota"
85,"Ce Crépuscule d’un dieu est le texte qui manquait à l’abondante littérature suscitée par le passage sur terre de la comète Noureev : le récit, par son médecin, des dernières années de sa vie. Michel Canesi, dermatologue et écrivain, a pris le temps. Trente et un ans en séparent la publication du décès du danseur. Sans doute la distance nécessaire pour revisiter des souvenirs traumatiques sans qu’ils ternissent par leur noirceur la personnalité du danseur que Canesi restitue de manière savoureuse. Lorsqu’il le rencontre, il est jeune diplômé en dermatologie et en vénérologie et exerce à l’Institut Arthur Vernes, rue d’Assas, à Paris. C’est là qu’il se heurte à une pathologie qui se traduit par «l’apparition de plaques rouges sur le corps, associées à des infections multiples» rapidement fatales. Le sida est là, calvaire pour ses victimes, mais aussi pour les médecins, incapables de garder vivants toute une population de jeunes gens. À lire aussi Trop exigeant, trop sensuel... 30 ans après sa mort, peut-on encore danser Noureev? Dans ce maelstrom de mort, le jeune médecin n’est pas peu flatté de compter parmi les fidèles du 23, quai Voltaire. Il admire Noureev le danseur, et observe l’homme: «Rudolf était subtil, fin, intelligent mais sans arrogance en dépit de ce qu’il représentait. Je gardais néanmoins une réserve qui le tenait à distance.» Sage précaution: Noureev esclavagise qui se soumet à lui. Un vécu au galop «I feel like something’s wrong» , se plaint Noureev à Canesi en 1983. Si les tests révèlent la séropositivité, nul ne mesure alors la gravité du virus: «On supposait alors que 10 % seulement des patients infectés seraient atteints par une forme létale» , écrit Canesi. Le traitement consiste en des injections quotidiennes de HPA-23. Un protocole acrobatique pour Noureev, qui, malgré son poste à la tête du Ballet de l’Opéra de Paris, danse sur toutes les scènes du monde. Qu’à cela ne tienne: «You’ll be my doctoress» , dit le danseur à Canesi. À charge pour lui de s’occuper de la maladie, tandis que le danseur se concentrera sur son travail. Il ­allait sublimer ma vie en m’entraînant dans son univers et je lui donnerai la force de continuer d’accomplir son œuvre Michel ­Canesi, médecin Canesi habite désormais les coulisses de la vie de Noureev, ce qui n’est pas pour lui déplaire en ces temps de «peste gay»: «Il allait sublimer ma vie en m’entraînant dans son univers et je lui donnerai la force de continuer d’accomplir son œuvre.» Croisières, séjours sur l’île Galli infestée de moustiques, rencontres avec Jackie Onassis, colères, travail sur Cendrillon et La Bayadère , terreurs en avion, penchant immodéré pour le puligny-montrachet, «rudimania» égale à la beatlemania, séances de chine chez les brocanteurs, spectacles, répétitions, interviews, avec ce bel aveu: «Sachez que pour être grand, il faut être seul…» Vécus au galop, les jours et les nuits de la vie de Noureev sont aussi truculents que le rituel de la piqûre du matin est silencieux. Elle ne servira à rien. À lire aussi Opéra de Paris: les nouveaux défis de l’École de danse «Doctoress, you’re abandoning me!» , se plaint Noureev, qui, à 54 ans, sent sa fin prochaine. Canesi se sent coupable et impuissant. Les derniers jours peuvent bien être accablants, Noureev reste lui-même jusqu’au bout, choisissant qui il veut près de lui, vivant comme mort. Après avoir décidé d’être enterré à Sainte-Geneviève-des-Bois (Essonne), il précisera: «Please, not to close to Serge Lifar!» Les deux Russes de l’Opéra de Paris se détestaient. Le Crépuscule d’un dieu , par Michel Canesi, Plon, 254 p., 22 €.","«Sachez que pour être grand, il faut être seul…»: les dernières années de Noureev racontées par son médecin"
86,"Producteur aussi prolifique que puissant des années 1980 et 1990, Alain Sarde est accusé depuis lundi par neuf femmes de viols, agressions sexuelles, chantage et harcèlement . Révélées par le magazine Elle , ces accusations jettent un terrible discrédit sur un homme de cinéma à la carrière phénoménale et qui a produit en 50 ans de carrière plus de deux cents films pour la crème de la crème du cinéma français et international. L’avocat du producteur a qualifié de «mensongères» ces accusations et affirmé qu’ Alain Sarde n’a «jamais usé de la moindre violence ou contrainte dans ses relations avec les femmes». En 1997 Alain Sarde avait été mis en examen dans le cadre d'une enquête pour viol et agression sexuelle. La justice avait rendu un non-lieu deux ans plus tard. La liste (non exhaustive) de la pléiade de réalisateurs avec lesquels Alain Sarde a travaillé, principalement des années 1980 aux années 2010, ne laisserait pas d’impressionner les cinéphiles les plus pointus: Marco Ferreri, Roman Polanski, Bertrand Tavernier, Jean-Luc Godard, Bertrand Blier, Claude Sautet, Andrezj Zulawski, Pierre Granier-Deferre, Nanni Moretti... mais aussi des femmes cinéastes et non des moindres. On peut citer Nadine Trintignant, Christine Pascal, Nicole Garcia, Claire Devers, Coline Serreau, Anne Fontaine, Pascale Bailly... Le parcours de producteur d’Alain Sarde démarre en trombe en 1974 avec Touche pas à la femme blanche du sulfureux Marco Ferreri. Ce film réunit à l’écran deux super-vedettes de l’époque Catherine Deneuve et Marcello Mastroianni. Dix ans et une vingtaine de films plus tard il fonde Sarde Films ce qui lui permet d’élargir sa palette en alternant le financement de films d’auteur et des comédies. Désormais reconnu, il obtient en 2002, son plus grand succès par l’intermédiaire de Roman Polanski qui reçoit l’oscar du meilleur réalisateur et la Palme d’or à Cannes. La dernière consécration date de 2009. La Cinémathèque française lui dédie une rétrospective. Le renommé critique de cinéma Serge Toubiana, alors directeur du cénacle cinématographique, fera ce commentaire: «Alain Sarde est sans aucun doute le producteur français le plus prolifique, mais également le plus discret ou le plus secret. Près de deux cents films à son actif en moins de quarante ans de carrière» . Une discrétion et surtout des secrets qui pourraient désormais éclater au grand jour.","#MeToo dans le cinéma : qui est Alain Sarde, le producteur accusé par neuf femmes de viols et d’agressions sexuelles ?"
87,"Un fond rouge débordant sur la silhouette du roi en uniforme : le palais de Buckingham a dévoilé mardi le premier portrait officiel de Charles III depuis son couronnement, peint par le célèbre artiste britannique Jonathan Yeo. La peinture montre le souverain de face, vêtu de l'uniforme des Welsh Guards, régiment dont il est le colonel depuis 1975, et dont la couleur rouge sert de motif à toute la toile. Son auteur, Jonathan Yeo est un artiste britannique reconnu pour ses nombreux portraits de personnalités, comme les anciens premiers ministres Tony Blair et David Cameron, les acteurs et actrices Kevin Spacey, Nicole Kidman, Jude Law ou encore la militante pakistanaise Malala Yousafzai. Toile de 2,6 mètres Il a déjà peint les portraits de plusieurs membres de la famille royale par le passé comme Camilla, avant qu'elle ne devienne reine, ou le prince Philip, l'époux de la reine Elizabeth II . La toile, grande de 2,6 mètres sur 2 mètres environ, avait été commandée en 2020 pour célébrer le cinquantième anniversaire de l'appartenance de Charles à la Compagnie des drapiers, une des guildes commerçantes historiques de Londres. Le roi a posé quatre fois pour le peintre, dont la dernière en novembre 2023, un peu plus d'un an après qu'il soit monté sur le trône. À son projet initial, Jonathan Yeo a finalement ajouté un petit papillon voletant sur une épaule du souverain à la demande de ce dernier, pour illustrer «sa passion pour la nature et l'environnement» , a raconté l'artiste dans son discours prononcé à l'occasion de la présentation de son œuvre mardi au palais de Buckingham. Un portrait officiel du roi Charles III, peint par l'artiste Jonathan Yeo, est photographié lors de son dévoilement, dans le Blue Drawing Room du palais de Buckingham à Londres, le 14 mai 2024. His Majesty King Charles III by / REUTERS «Quand j'ai commencé ce projet, sa Majesté le roi était encore le prince de Galles, et comme le papillon que j'ai peint volant sur son épaule, ce portrait a évolué à mesure que la fonction de son objet a évolué dans notre vie publique» , a déclaré le peintre dans un communiqué. «Je fais de mon mieux pour capturer les expériences de vie gravées dans le visage de chaque personne. Dans ce cas, mon objectif était également de faire référence aux traditions du portrait royal mais d'une manière qui reflète une monarchie du 21e siècle et, par-dessus tout, pour communiquer la profonde humanité» du roi, a-t-il ajouté. Le portrait sera exposé pendant plusieurs semaines dans une galerie londonienne, avant de rejoindre Drapers' Hall, le siège de la Compagnie des drapiers à Londres.",Royaume-Uni : le premier portrait officiel du roi Charles III dévoilé
88,"Steve Buscemi a été victime d’une agression dans les rues de New York mercredi 8 mai, alors qu’il se promenait dans le quartier de Kips Bay. L’incident, rapporté par le New York Post , s’est déroulé en plein jour, aux alentours de 12h, sous les yeux des passants. L’acteur a été frappé au visage et s’en est sorti avec un hématome, un gonflement et un saignement à l’œil gauche. Il a été transporté à l’hôpital de Bellevue. Son attaché de presse a déclaré dans un communiqué que Steve Buscemi «va bien et apprécie les bons vœux de tout le monde, même s'il est incroyablement triste pour tous ceux à qui cela est arrivé» . Il décrit l’agression comme un «acte de violence aléatoire» , qui n’est pas sans rappeler celle dont a été victime Michael Stuhbarg, avec qui il partage l’écran dans la série Boardwalk Empire . Stuhbarg a été frappé à la nuque avec une pierre alors qu’il courait à Manhattan, le 31 mars. La police de New York avait pu arrêter le coupable, Xavier Israel, mais l’agresseur de Steve Buscemi, lui, a pris la fuite. Les forces de l’ordre ont rendu publique une photo du coupable présumé, prise par une caméra de surveillance: un homme à la barbe grisonnante, portant un t-shirt bleu, un pantalon de survêtement noir, des chaussures blanches, une casquette et un sac à dos. L’homme ayant agressé Steve Buscemi a été aperçu sur des images de caméra de surveillance. The New York Post Un témoin décrit au New York Post ce qu’elle a aperçu de l’agression de STeve Buscemi. «Il était avec une femme, puis à travers le coin de la fenêtre, je l’ai vu trébucher et tomber à la renverse. Il s’est immédiatement relevé et a couru dans la direction opposée. Je n’ai pas vu qui l’avait frappé.» Connu pour ses rôles dans Fargo (1996) ou Reservoir Dogs (1992), Steve Buscemi a remporté en 2011 le Golden Globe du meilleur acteur dans une série télévisée dramatique pour son rôle dans Boardwalk Empire où il interprète un mafieux et homme politique des années 1920. Il sera à l’affiche de Transformers One cette année, aux côtés de Chris Hemsworth et Scarlett Johansson .",Steve Buscemi agressé dans les rues de New York
89,"L'actrice australienne Cate Blanchett recevra un prix honorant l'ensemble de sa carrière au festival de cinéma de Saint-Sébastien, qui se tient cette année du 20 au 28 septembre dans cette ville du Pays basque espagnol, ont annoncé jeudi les organisateurs. Ce festival, le plus important du monde hispanophone, rendra ainsi hommage à «l'une des interprètes les plus importantes du cinéma contemporain» , ont-ils indiqué dans un communiqué. Cate Blanchett sera aussi l'image du festival sur ses affiches. Cate Blanchett, 54 ans, a remporté deux Oscars pour ses interprétations dans Aviator de Martin Scorsese (2005) et Blue Jasmine de Woody Allen (2014). Elle a également remporté quatre Bafta et quatre Golden Globes. Reconnue comme l'une des actrices majeures de sa génération, elle a joué au fil de sa carrière dans des films à gros budget, comme Indiana Jones et le Royaume du crâne de cristal de Steven Spielberg , Thor de Marvel et Le seigneur des anneaux de Peter Jackson. Affiche du Festival de Saint-Sébastien mettant en avant Cate Blanchett. Site internet du Festival de Saint-Sébastien Mais cette passionnée de théâtre est aussi apparue dans de plus petites productions, comme Le talentueux M. Ripley d'Anthony Minghella et La vie aquatique de Wes Anderson . La 72 e édition du festival de Saint-Sébastien ouvrira avec la présentation en avant-première mondiale du remake féministe d' Emmanuelle , grand succès du cinéma érotique des années 1970, avec Noémie Merlant dans le rôle-titre.",Cate Blanchett en majesté au Festival de Saint-Sébastien
90,"Siri Hustvedt, romancière et essayiste américaine qui a perdu mardi son mari Paul Auster , a estimé jeudi s'être fait «voler» sa «dignité» lorsqu'une amie du couple a annoncé au New York Times la mort de l'écrivain new-yorkais. «J'étais naïve, mais je m'étais imaginé que je serais la personne qui annoncerait la mort de mon mari, Paul Auster» , a tempêté sur son compte Instagram Siri Hustvedt qui avait révélé en mars 2023 le cancer du poumon de son époux. À découvrir Commencez à jouer sur Le Figaro: un clic, mille défis gratuits! Paul Auster, romancier prolifique, poète et scénariste de films, propulsé sur la scène littéraire internationale par sa Trilogie new-yorkaise , «s'est éteint ce soir, chez lui, entouré de ses proches» , dont Siri Hustvedt et leur fille Sophie Auster, de complications d'un cancer du poumon à l'âge de 77 ans, avait révélé le New York Times mardi juste avant minuit, citant une amie de la famille, l'autrice et journaliste américaine Jacki Lyden. «On nous a volé cette dignité. Je ne connais pas toute l'histoire mais je sais ceci: c'est mal» , a dénoncé Siri Hustvedt, 69 ans, autrice de nombreux romans et essais comme Les Yeux bandés et Un été sans les hommes . Paul Auster est «mort à la maison (à Brooklyn) dans une pièce qu'il aimait, la bibliothèque (...) avec nous, entouré par sa famille, le 30 avril 2024 à 18h58» , précise la poétesse et philosophe sur Instagram. «J'ai découvert peu de temps après, qu'avant même que son corps ne soit emmené, l'annonce de sa mort circulait dans les médias et des nécrologies publiées. Ni moi, ni notre fille Sophie, ni notre gendre Spencer, ni mes sœurs que Paul aimait comme ses propres sœurs et qui étaient là quand il est mort, n'ont eu le temps de réaliser la douleur de cette perte» , proteste Siri Hustvedt. «Aucun d'entre nous n'a pu appeler ou envoyer un courriel à nos proches avant que la criée ne démarre sur internet» , se plaint-elle. Siri Hustvedt avait révélé en mars 2023 le cancer du poumon dont souffrait Paul Auster. Fin août, dans un message poignant sur Instagram, accompagné de photos du couple jeune, elle déplorait que son mari n'ait pas «quitté le Cancerland » et, qu' «aujourd'hui âgé» , son «enfance, sa jeunesse, l'âge adulte» soient «derrière lui» . «Paul n'a jamais quitté le Cancerland. Selon les mots (du philosophe Sören) Kierkegaard, cela fut de la maladie à la mort» , conclut Siri Hustvedt en citant le titre d'un traité du théologien danois du XIX e siècle.",«On nous a volé cette dignité» : l’épouse de Paul Auster dénonce la trahison d’une amie de la famille
